"","Date","MeanR","StdR","Code"
"2034",2020-05-03,1.2974419118349,0.0241645832612938,"CO"
"2035",2020-05-04,1.26660072819355,0.0235335159658379,"CO"
"2036",2020-05-05,1.34854168137926,0.0239370033659567,"CO"
"2037",2020-05-06,1.32049390390686,0.0235316779687518,"CO"
"2038",2020-05-07,1.33032631500361,0.0231441921755248,"CO"
"2039",2020-05-08,1.3307704963058,0.023130972775485,"CO"
"2040",2020-05-09,1.30489039612772,0.022228679194432,"CO"
"2041",2020-05-10,1.31422503094039,0.0220819442830587,"CO"
"2042",2020-05-11,1.32111446684712,0.0218445598042335,"CO"
"2043",2020-05-12,1.31770755497021,0.0214459011045803,"CO"
"2044",2020-05-13,1.32900464791708,0.0215598603177416,"CO"
"2045",2020-05-14,1.33130944615634,0.0211634784781543,"CO"
"2046",2020-05-15,1.27989071340547,0.0202882700859624,"CO"
"2047",2020-05-16,1.29171422784342,0.0199596131619875,"CO"
"2048",2020-05-17,1.27171275196886,0.0193237710835761,"CO"
"2049",2020-05-18,1.27795228806173,0.0191408790995548,"CO"
"2050",2020-05-19,1.22083151157638,0.0178831254550261,"CO"
"2051",2020-05-20,1.22878753684687,0.0177548709926634,"CO"
"2052",2020-05-21,1.20273275787186,0.0171395877987935,"CO"
"2053",2020-05-22,1.18764321187548,0.0163048389408604,"CO"
"2054",2020-05-23,1.22550876892806,0.0162655046205811,"CO"
"2055",2020-05-24,1.23694018689624,0.0160605346245435,"CO"
"2056",2020-05-25,1.2210000571192,0.0157183710430432,"CO"
"2057",2020-03-23,2.42856160229443,0.21247528638252,"CR"
"2058",2020-03-24,2.20331233056716,0.181341555251928,"CR"
"2059",2020-03-25,2.04125015357493,0.157854622904443,"CR"
"2060",2020-03-26,1.9243534938186,0.141888658125464,"CR"
"2061",2020-03-27,1.90578207881212,0.131222699086006,"CR"
"2062",2020-03-28,1.85891699843603,0.121450507630687,"CR"
"2063",2020-03-29,1.73464854692851,0.108865350640027,"CR"
"2064",2020-03-30,1.57998722599497,0.0966375444707586,"CR"
"2065",2020-03-31,1.47719884764736,0.0891304389183826,"CR"
"2066",2020-04-01,1.44149128221485,0.0846745981215592,"CR"
"2067",2020-04-02,1.34918890819508,0.0780678465401155,"CR"
"2068",2020-04-03,1.26499854669337,0.0720869288611345,"CR"
"2069",2020-04-04,1.17011589207303,0.0681098732557556,"CR"
"2070",2020-04-05,1.13744425887789,0.0650026169846523,"CR"
"2071",2020-04-06,1.07066524739711,0.0622952701098778,"CR"
"2072",2020-04-07,1.04490652680033,0.0606621601616799,"CR"
"2073",2020-04-08,1.01916596075099,0.0598720075701254,"CR"
"2074",2020-04-09,1.0393494329189,0.0595886378816927,"CR"
"2075",2020-04-10,0.992603103775229,0.0586953347719857,"CR"
"2076",2020-04-11,0.948919240010813,0.0571533553695113,"CR"
"2077",2020-04-12,0.951647183239871,0.0561243208907139,"CR"
"2078",2020-04-13,0.965947335224366,0.0577002983905892,"CR"
"2079",2020-04-14,0.937461981806445,0.0575988959015219,"CR"
"2080",2020-04-15,0.878107642252223,0.0557207427002342,"CR"
