Country Code,Date,Region Name,Confirmed,Active,Deaths,Healthcare Infection Control,Mask Wearing,Symptomatic Testing,Gatherings <1000,Gatherings <100,Gatherings <10,Some Businesses Suspended,Most Businesses Suspended,School Closure,Stay Home Order
DK,2020-04-15 00:00:00+00:00,Denmark,6681.0,3624.0,309.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-16 00:00:00+00:00,Denmark,6879.0,3535.0,321.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-17 00:00:00+00:00,Denmark,7073.0,3348.0,336.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-18 00:00:00+00:00,Denmark,7242.0,3049.0,346.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-19 00:00:00+00:00,Denmark,7384.0,2888.0,355.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-20 00:00:00+00:00,Denmark,7515.0,2839.0,364.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-21 00:00:00+00:00,Denmark,7695.0,2625.0,370.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-22 00:00:00+00:00,Denmark,7912.0,2441.0,384.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-23 00:00:00+00:00,Denmark,8073.0,2295.0,394.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-24 00:00:00+00:00,Denmark,8210.0,2281.0,403.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DK,2020-04-25 00:00:00+00:00,Denmark,8445.0,2358.0,418.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,2020-01-22 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-01-23 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-01-24 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-01-25 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-01-26 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-01-27 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-01-28 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-01-29 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-01-30 00:00:00+00:00,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
