Code,JH_Recovered|2020-01-22,JH_Recovered|2020-01-23,JH_Recovered|2020-01-24,JH_Recovered|2020-01-25,JH_Recovered|2020-01-26,JH_Recovered|2020-01-27,JH_Recovered|2020-01-28,JH_Recovered|2020-01-29,JH_Recovered|2020-01-30,JH_Recovered|2020-01-31,JH_Recovered|2020-02-01,JH_Recovered|2020-02-02,JH_Recovered|2020-02-03,JH_Recovered|2020-02-04,JH_Recovered|2020-02-05,JH_Recovered|2020-02-06,JH_Recovered|2020-02-07,JH_Recovered|2020-02-08,JH_Recovered|2020-02-09,JH_Recovered|2020-02-10,JH_Recovered|2020-02-11,JH_Recovered|2020-02-12,JH_Recovered|2020-02-13,JH_Recovered|2020-02-14,JH_Recovered|2020-02-15,JH_Recovered|2020-02-16,JH_Recovered|2020-02-17,JH_Recovered|2020-02-18,JH_Recovered|2020-02-19,JH_Recovered|2020-02-20,JH_Recovered|2020-02-21,JH_Recovered|2020-02-22,JH_Recovered|2020-02-23,JH_Recovered|2020-02-24,JH_Recovered|2020-02-25,JH_Recovered|2020-02-26,JH_Recovered|2020-02-27,JH_Recovered|2020-02-28,JH_Recovered|2020-02-29,JH_Recovered|2020-03-01,JH_Recovered|2020-03-02,JH_Recovered|2020-03-03,JH_Recovered|2020-03-04,JH_Recovered|2020-03-05,JH_Recovered|2020-03-06,JH_Recovered|2020-03-07,JH_Recovered|2020-03-08,JH_Recovered|2020-03-09,JH_Recovered|2020-03-10,JH_Recovered|2020-03-11,JH_Recovered|2020-03-12,JH_Recovered|2020-03-13,JH_Recovered|2020-03-14,JH_Recovered|2020-03-15,JH_Recovered|2020-03-16,JH_Recovered|2020-03-17,JH_Recovered|2020-03-18,JH_Recovered|2020-03-19,JH_Recovered|2020-03-20,JH_Recovered|2020-03-21,JH_Recovered|2020-03-22,JH_Recovered|2020-03-23,JH_Recovered|2020-03-24,JH_Recovered|2020-03-25,JH_Recovered|2020-03-26,JH_Recovered|2020-03-27,JH_Recovered|2020-03-28,JH_Confirmed|2020-01-22,JH_Confirmed|2020-01-23,JH_Confirmed|2020-01-24,JH_Confirmed|2020-01-25,JH_Confirmed|2020-01-26,JH_Confirmed|2020-01-27,JH_Confirmed|2020-01-28,JH_Confirmed|2020-01-29,JH_Confirmed|2020-01-30,JH_Confirmed|2020-01-31,JH_Confirmed|2020-02-01,JH_Confirmed|2020-02-02,JH_Confirmed|2020-02-03,JH_Confirmed|2020-02-04,JH_Confirmed|2020-02-05,JH_Confirmed|2020-02-06,JH_Confirmed|2020-02-07,JH_Confirmed|2020-02-08,JH_Confirmed|2020-02-09,JH_Confirmed|2020-02-10,JH_Confirmed|2020-02-11,JH_Confirmed|2020-02-12,JH_Confirmed|2020-02-13,JH_Confirmed|2020-02-14,JH_Confirmed|2020-02-15,JH_Confirmed|2020-02-16,JH_Confirmed|2020-02-17,JH_Confirmed|2020-02-18,JH_Confirmed|2020-02-19,JH_Confirmed|2020-02-20,JH_Confirmed|2020-02-21,JH_Confirmed|2020-02-22,JH_Confirmed|2020-02-23,JH_Confirmed|2020-02-24,JH_Confirmed|2020-02-25,JH_Confirmed|2020-02-26,JH_Confirmed|2020-02-27,JH_Confirmed|2020-02-28,JH_Confirmed|2020-02-29,JH_Confirmed|2020-03-01,JH_Confirmed|2020-03-02,JH_Confirmed|2020-03-03,JH_Confirmed|2020-03-04,JH_Confirmed|2020-03-05,JH_Confirmed|2020-03-06,JH_Confirmed|2020-03-07,JH_Confirmed|2020-03-08,JH_Confirmed|2020-03-09,JH_Confirmed|2020-03-10,JH_Confirmed|2020-03-11,JH_Confirmed|2020-03-12,JH_Confirmed|2020-03-13,JH_Confirmed|2020-03-14,JH_Confirmed|2020-03-15,JH_Confirmed|2020-03-16,JH_Confirmed|2020-03-17,JH_Confirmed|2020-03-18,JH_Confirmed|2020-03-19,JH_Confirmed|2020-03-20,JH_Confirmed|2020-03-21,JH_Confirmed|2020-03-22,JH_Confirmed|2020-03-23,JH_Confirmed|2020-03-24,JH_Confirmed|2020-03-25,JH_Confirmed|2020-03-26,JH_Confirmed|2020-03-27,JH_Confirmed|2020-03-28,JH_Deaths|2020-01-22,JH_Deaths|2020-01-23,JH_Deaths|2020-01-24,JH_Deaths|2020-01-25,JH_Deaths|2020-01-26,JH_Deaths|2020-01-27,JH_Deaths|2020-01-28,JH_Deaths|2020-01-29,JH_Deaths|2020-01-30,JH_Deaths|2020-01-31,JH_Deaths|2020-02-01,JH_Deaths|2020-02-02,JH_Deaths|2020-02-03,JH_Deaths|2020-02-04,JH_Deaths|2020-02-05,JH_Deaths|2020-02-06,JH_Deaths|2020-02-07,JH_Deaths|2020-02-08,JH_Deaths|2020-02-09,JH_Deaths|2020-02-10,JH_Deaths|2020-02-11,JH_Deaths|2020-02-12,JH_Deaths|2020-02-13,JH_Deaths|2020-02-14,JH_Deaths|2020-02-15,JH_Deaths|2020-02-16,JH_Deaths|2020-02-17,JH_Deaths|2020-02-18,JH_Deaths|2020-02-19,JH_Deaths|2020-02-20,JH_Deaths|2020-02-21,JH_Deaths|2020-02-22,JH_Deaths|2020-02-23,JH_Deaths|2020-02-24,JH_Deaths|2020-02-25,JH_Deaths|2020-02-26,JH_Deaths|2020-02-27,JH_Deaths|2020-02-28,JH_Deaths|2020-02-29,JH_Deaths|2020-03-01,JH_Deaths|2020-03-02,JH_Deaths|2020-03-03,JH_Deaths|2020-03-04,JH_Deaths|2020-03-05,JH_Deaths|2020-03-06,JH_Deaths|2020-03-07,JH_Deaths|2020-03-08,JH_Deaths|2020-03-09,JH_Deaths|2020-03-10,JH_Deaths|2020-03-11,JH_Deaths|2020-03-12,JH_Deaths|2020-03-13,JH_Deaths|2020-03-14,JH_Deaths|2020-03-15,JH_Deaths|2020-03-16,JH_Deaths|2020-03-17,JH_Deaths|2020-03-18,JH_Deaths|2020-03-19,JH_Deaths|2020-03-20,JH_Deaths|2020-03-21,JH_Deaths|2020-03-22,JH_Deaths|2020-03-23,JH_Deaths|2020-03-24,JH_Deaths|2020-03-25,JH_Deaths|2020-03-26,JH_Deaths|2020-03-27,JH_Deaths|2020-03-28,JH_Active|2020-02-15,JH_Active|2020-02-23,JH_Active|2020-02-04,JH_Active|2020-01-30,JH_Active|2020-02-06,JH_Active|2020-02-01,JH_Active|2020-02-17,JH_Active|2020-03-07,JH_Active|2020-01-29,JH_Active|2020-02-29,JH_Active|2020-03-13,JH_Active|2020-02-21,JH_Active|2020-01-23,JH_Active|2020-02-03,JH_Active|2020-02-20,JH_Active|2020-02-26,JH_Active|2020-03-28,JH_Active|2020-03-25,JH_Active|2020-02-05,JH_Active|2020-02-11,JH_Active|2020-01-27,JH_Active|2020-01-24,JH_Active|2020-02-13,JH_Active|2020-03-14,JH_Active|2020-02-07,JH_Active|2020-03-01,JH_Active|2020-02-12,JH_Active|2020-02-14,JH_Active|2020-02-18,JH_Active|2020-03-03,JH_Active|2020-03-11,JH_Active|2020-03-15,JH_Active|2020-01-22,JH_Active|2020-02-08,JH_Active|2020-02-16,JH_Active|2020-03-02,JH_Active|2020-03-27,JH_Active|2020-01-28,JH_Active|2020-02-19,JH_Active|2020-03-08,JH_Active|2020-03-10,JH_Active|2020-02-25,JH_Active|2020-01-25,JH_Active|2020-03-19,JH_Active|2020-01-26,JH_Active|2020-01-31,JH_Active|2020-02-24,JH_Active|2020-03-09,JH_Active|2020-03-16,JH_Active|2020-03-17,JH_Active|2020-03-22,JH_Active|2020-02-02,JH_Active|2020-03-05,JH_Active|2020-02-28,JH_Active|2020-02-09,JH_Active|2020-03-26,JH_Active|2020-03-12,JH_Active|2020-03-20,JH_Active|2020-03-21,JH_Active|2020-02-22,JH_Active|2020-02-27,JH_Active|2020-03-23,JH_Active|2020-03-24,JH_Active|2020-02-10,JH_Active|2020-03-04,JH_Active|2020-03-18,JH_Active|2020-03-06
GM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,9,10,11,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,13.0,15.0,15.0,24.0,24.0,25.0,30.0,33.0,33.0,34.0,38.0,40.0,43.0,49.0,54.0,61.0,70.0,75.0,79.0,83.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,76.0,65.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,24.0,33.0,0.0,0.0,0.0,3.0,69.0,0.0,0.0,13.0,15.0,0.0,0.0,39.0,0.0,0.0,0.0,15.0,32.0,33.0,51.0,0.0,4.0,1.0,0.0,68.0,24.0,42.0,48.0,0.0,1.0,58.0,61.0,0.0,3.0,37.0,4.0
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,12,12,12,14,14,14,14,14,15,16,16,16,16,16,16,16,16,17,18,18,18,18,25,25,46,46,46,67,67,105,113,180,233,266,266,3243,3547,5673,6658,8481,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,8.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,27.0,46.0,48.0,79.0,130.0,159.0,196.0,262.0,482.0,670.0,799.0,1040.0,1176.0,1457.0,1908.0,2078.0,3675.0,4585.0,5795.0,7272.0,9257.0,12327.0,15320.0,19848.0,22213.0,24873.0,29056.0,32986.0,37323.0,43938.0,50871.0,57695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,7.0,9.0,11.0,17.0,24.0,28.0,44.0,67.0,84.0,94.0,123.0,157.0,206.0,267.0,342.0,433.0,15.0,2.0,12.0,4.0,12.0,8.0,15.0,781.0,4.0,63.0,3622.0,2.0,0.0,12.0,4.0,12.0,48781.0,33570.0,12.0,16.0,1.0,0.0,15.0,4530.0,13.0,114.0,16.0,15.0,4.0,180.0,1880.0,5738.0,0.0,13.0,15.0,143.0,43871.0,4.0,4.0,1022.0,1437.0,3.0,0.0,15163.0,0.0,5.0,2.0,1156.0,7188.0,9166.0,24513.0,10.0,466.0,32.0,14.0,37998.0,2050.0,19601.0,21896.0,2.0,30.0,28667.0,29586.0,14.0,246.0,12194.0,653.0
GH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,7.0,7.0,11.0,16.0,19.0,23.0,27.0,53.0,93.0,132.0,137.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,89.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,7.0,22.0,0.0,0.0,0.0,0.0,127.0,0.0,16.0,18.0,0.0,0.0,25.0,51.0,0.0,0.0,7.0,0.0
GD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,19,19,19,19,29,36,36,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,7.0,7.0,7.0,9.0,31.0,45.0,46.0,73.0,73.0,89.0,99.0,99.0,190.0,228.0,331.0,331.0,387.0,418.0,418.0,495.0,530.0,624.0,695.0,743.0,821.0,892.0,966.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,13.0,15.0,17.0,20.0,22.0,26.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,4.0,189.0,0.0,0.0,0.0,0.0,1.0,977.0,763.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,7.0,0.0,0.0,0.0,7.0,98.0,319.0,0.0,0.0,0.0,7.0,886.0,0.0,0.0,73.0,89.0,0.0,0.0,404.0,0.0,0.0,0.0,73.0,319.0,374.0,590.0,0.0,31.0,4.0,0.0,830.0,98.0,470.0,498.0,0.0,3.0,659.0,694.0,0.0,9.0,405.0,45.0
GT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,6.0,9.0,12.0,17.0,19.0,20.0,21.0,24.0,25.0,28.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,20.0,0.0,11.0,16.0,0.0,0.0,19.0,20.0,0.0,0.0,5.0,0.0
GN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0
GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,19.0,20.0,5.0,5.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,6.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,6.0,0.0,0.0,19.0,4.0,0.0,0.0,6.0,0.0
